epoch,step,train_loss,train_r2,val_loss,val_r2
0,49,0.5437753796577454,0.5075991749763489,,
0,99,0.3311709761619568,0.49910926818847656,,
0,128,,,0.3501594066619873,0.6290405988693237
1,149,0.4004252254962921,0.5335829854011536,,
1,199,0.5525669455528259,0.5865219235420227,,
1,249,0.18906815350055695,0.7637770175933838,,
1,257,,,0.31002262234687805,0.6680742502212524
2,299,0.3111138641834259,0.5861208438873291,,
2,349,0.38811197876930237,0.6604090929031372,,
2,386,,,0.28883036971092224,0.6946918964385986
3,399,0.3379799723625183,0.7333188056945801,,
3,449,0.44064027070999146,0.5563703775405884,,
3,499,0.19393706321716309,0.7762029767036438,,
3,515,,,0.2905578911304474,0.6906498670578003
4,549,0.1971372365951538,0.8454121351242065,,
4,599,0.5467352271080017,0.6476539373397827,,
4,644,,,0.26709312200546265,0.7167868614196777
5,649,0.35436490178108215,0.6281200051307678,,
5,699,0.20763298869132996,0.7795454263687134,,
5,749,0.27748072147369385,0.5880235433578491,,
5,773,,,0.2729949951171875,0.7076146602630615
6,799,0.2449229508638382,0.8008497953414917,,
6,849,0.4948606491088867,0.4526641368865967,,
6,899,0.24584342539310455,0.7140757441520691,,
6,902,,,0.25476911664009094,0.7277695536613464
7,949,0.19403623044490814,0.8170376420021057,,
7,999,0.2640734612941742,0.3744997978210449,,
7,1031,,,0.2505236864089966,0.7336983680725098
8,1049,0.36118364334106445,0.41115081310272217,,
8,1099,0.26342129707336426,0.6988939046859741,,
8,1149,0.36524271965026855,0.692952036857605,,
8,1160,,,0.4658946096897125,0.5240174531936646
9,1199,0.15172608196735382,0.8673279881477356,,
9,1249,0.14264054596424103,0.7984814047813416,,
9,1289,,,0.47639769315719604,0.5138441324234009
10,1299,0.23726852238178253,0.6928830742835999,,
10,1349,0.6658318042755127,0.5205686688423157,,
10,1399,0.29899439215660095,0.4289940595626831,,
10,1418,,,0.47021642327308655,0.520412802696228
11,1449,0.23319774866104126,0.8301138877868652,,
11,1499,0.26380911469459534,0.6450121402740479,,
11,1547,,,0.24047932028770447,0.7418292164802551
12,1549,0.3872317671775818,0.3189215064048767,,
12,1599,0.18541333079338074,0.7989019751548767,,
12,1649,0.23263363540172577,0.7152743935585022,,
12,1676,,,0.44718503952026367,0.5396544933319092
13,1699,0.6510911583900452,0.2581581473350525,,
13,1749,0.7261699438095093,0.4887937903404236,,
13,1799,0.21570731699466705,0.8446625471115112,,
13,1805,,,0.4240518808364868,0.565022885799408
14,1849,0.2838246524333954,0.7321407794952393,,
14,1899,0.24723263084888458,0.7821542620658875,,
14,1934,,,0.5228255391120911,0.4677540361881256
15,1949,0.4591731131076813,0.4649086594581604,,
15,1999,0.26596200466156006,0.7875732183456421,,
15,2049,0.31185004115104675,0.783105194568634,,
15,2063,,,0.2339051514863968,0.7509372234344482
16,2099,0.5570935606956482,0.15319973230361938,,
16,2149,0.2590752840042114,0.7036935091018677,,
16,2192,,,0.24396434426307678,0.7390046715736389
17,2199,0.17127789556980133,0.796278178691864,,
17,2249,0.23178672790527344,0.8170537352561951,,
17,2299,0.13585896790027618,0.8775982856750488,,
17,2321,,,0.401208758354187,0.5886533856391907
18,2349,0.24872231483459473,0.7005996108055115,,
18,2399,0.27527499198913574,0.5686671733856201,,
18,2449,0.38259726762771606,0.6414467096328735,,
18,2450,,,0.4417371153831482,0.5478670001029968
19,2499,0.1341269314289093,0.8804788589477539,,
19,2549,0.36836904287338257,0.31231266260147095,,
19,2579,,,0.23018164932727814,0.751861572265625
20,2599,0.3139116168022156,0.7663654088973999,,
20,2649,0.18818823993206024,0.8749754428863525,,
20,2699,0.31415149569511414,0.5497822761535645,,
20,2708,,,0.2592511475086212,0.7289594411849976
21,2749,0.43385088443756104,0.5497232675552368,,
21,2799,0.2182605266571045,0.834272027015686,,
21,2837,,,0.44477805495262146,0.5464682579040527
22,2849,0.24046649038791656,0.7798153162002563,,
22,2899,0.25935912132263184,0.6199005842208862,,
22,2949,0.24541597068309784,0.7104994058609009,,
22,2966,,,0.22690600156784058,0.7588128447532654
23,2999,0.20057864487171173,0.8183997869491577,,
23,3049,0.3432866036891937,0.30465036630630493,,
23,3095,,,0.2247283160686493,0.7593917846679688
24,3099,0.43188416957855225,0.707477331161499,,
24,3149,0.21482129395008087,0.6648308038711548,,
24,3199,0.253927081823349,0.7533816695213318,,
24,3224,,,0.24745726585388184,0.7397125959396362
25,3249,0.31807926297187805,0.7268942594528198,,
25,3299,0.3880188763141632,0.7493237853050232,,
25,3349,0.33467671275138855,0.7735587954521179,,
25,3353,,,0.23249131441116333,0.7485263347625732
26,3399,0.12528814375400543,0.8574957847595215,,
26,3449,0.13777987658977509,0.87353515625,,
26,3482,,,0.512844443321228,0.4802142381668091
27,3499,0.3813060522079468,0.27419912815093994,,
27,3549,0.40296345949172974,0.6935268640518188,,
27,3599,0.3587051033973694,0.7011017799377441,,
27,3611,,,0.22915084660053253,0.7570473551750183
28,3649,0.10848408937454224,0.870768666267395,,
28,3699,0.20772376656532288,0.721085786819458,,
28,3740,,,0.22309616208076477,0.7600337862968445
29,3749,0.25207892060279846,0.8149998188018799,,
29,3799,0.1472153514623642,0.8343141674995422,,
29,3849,0.4498603343963623,0.5661671161651611,,
29,3869,,,0.2445332258939743,0.7385997176170349
30,3899,0.3848890960216522,0.7007477283477783,,
30,3949,0.18762753903865814,0.7315435409545898,,
30,3998,,,0.22887463867664337,0.7549554109573364
31,3999,0.2768814265727997,0.6218928694725037,,
31,4049,0.23726032674312592,0.7825337052345276,,
31,4099,0.1968696564435959,0.7999294400215149,,
31,4127,,,0.2173006534576416,0.7671737670898438
32,4149,0.3318045437335968,0.7656487226486206,,
32,4199,0.19878919422626495,0.8171194791793823,,
32,4249,0.229859858751297,0.7240488529205322,,
32,4256,,,0.44374966621398926,0.5468580722808838
33,4299,0.6810641884803772,0.42698174715042114,,
33,4349,0.34604546427726746,0.7595158815383911,,
33,4385,,,0.4971446990966797,0.4951471984386444
34,4399,0.45248255133628845,0.4726187586784363,,
34,4449,0.13499286770820618,0.8400331735610962,,
34,4499,0.5111362934112549,0.6817669868469238,,
34,4514,,,0.22028787434101105,0.7642821073532104
35,4549,0.14588499069213867,0.8762865662574768,,
35,4599,0.24242927134037018,0.6763278841972351,,
35,4643,,,0.5366407632827759,0.4544655680656433
36,4649,0.39125856757164,0.6220516562461853,,
36,4699,0.3184414505958557,0.60279381275177,,
36,4749,0.30383768677711487,0.7104800939559937,,
36,4772,,,0.25897321105003357,0.7298539280891418
37,4799,0.1525176763534546,0.803094208240509,,
37,4849,0.4252302646636963,0.4405774474143982,,
37,4899,0.1342025250196457,0.8116737604141235,,
37,4901,,,0.49069446325302124,0.5011042356491089
38,4949,0.316027969121933,0.46755099296569824,,
38,4999,0.2094535380601883,0.6772832274436951,,
38,5030,,,0.3840881586074829,0.6046359539031982
39,5049,0.32172203063964844,0.7941756844520569,,
39,5099,0.21619419753551483,0.6537371873855591,,
39,5149,0.20170049369335175,0.8558247089385986,,
39,5159,,,0.27233776450157166,0.7176507711410522
40,5199,0.4795059561729431,0.3297313451766968,,
40,5249,0.12843286991119385,0.8412173390388489,,
40,5288,,,0.21879225969314575,0.7672578692436218
41,5299,0.20913219451904297,0.6701532006263733,,
41,5349,0.1664310246706009,0.8410021066665649,,
41,5399,0.32694119215011597,0.7799089550971985,,
41,5417,,,0.22098316252231598,0.763519823551178
42,5449,0.20983153581619263,0.823659360408783,,
42,5499,0.19015853106975555,0.8132719993591309,,
42,5546,,,0.22124579548835754,0.7656146287918091
43,5549,0.4153042435646057,-0.11698663234710693,,
43,5599,0.1942369043827057,0.8140257596969604,,
43,5649,0.23544639348983765,0.7171939015388489,,
43,5675,,,0.21170079708099365,0.7723212838172913
44,5699,0.2266068011522293,0.7484400272369385,,
44,5749,0.25760671496391296,0.7753328680992126,,
44,5799,0.20947155356407166,0.7494947910308838,,
44,5804,,,0.21631579101085663,0.7696128487586975
45,5849,0.2136036455631256,0.8209729790687561,,
45,5899,0.46484577655792236,0.4862346649169922,,
45,5933,,,0.40290212631225586,0.5878726243972778
46,5949,0.3894614577293396,0.7240599393844604,,
46,5999,0.4506809711456299,0.5447709560394287,,
46,6049,0.25435295701026917,0.7384349703788757,,
46,6062,,,0.22312143445014954,0.7605802416801453
47,6099,0.17016065120697021,0.7994831204414368,,
47,6149,0.3069426715373993,0.8026188015937805,,
47,6191,,,0.39584866166114807,0.5942363739013672
48,6199,0.19446273148059845,0.8288852572441101,,
48,6249,0.21933090686798096,0.8070661425590515,,
48,6299,0.11183441430330276,0.8687458038330078,,
48,6320,,,0.21917538344860077,0.767270028591156
49,6349,0.3989529311656952,0.38775014877319336,,
49,6399,0.0953357070684433,0.8845205903053284,,
49,6449,0.11600972712039948,0.858121395111084,,
49,6449,,,0.2121751755475998,0.7725799083709717
50,6499,0.3578750193119049,0.5696680545806885,,
50,6549,0.41275298595428467,0.6798458099365234,,
50,6578,,,0.222701296210289,0.7645366787910461
51,6599,0.308381587266922,0.6213226318359375,,
51,6649,0.19706016778945923,0.7192519903182983,,
51,6699,0.20381201803684235,0.8531360626220703,,
51,6707,,,0.4674525558948517,0.5228683948516846
52,6749,0.4042748212814331,0.682436466217041,,
52,6799,0.2632905840873718,0.7068585157394409,,
52,6836,,,0.21441340446472168,0.7709742784500122
53,6849,0.2443981170654297,0.7494364976882935,,
53,6899,0.2094239443540573,0.7529588341712952,,
53,6949,0.235784113407135,0.6831849217414856,,
53,6965,,,0.21439513564109802,0.7691403031349182
54,6999,0.4076833724975586,0.5338273048400879,,
54,7049,0.3028985559940338,0.7198376655578613,,
54,7094,,,0.22071245312690735,0.7643323540687561
55,7099,0.20338074862957,0.7937595248222351,,
55,7149,0.15910615026950836,0.8314078450202942,,
55,7199,0.27015364170074463,0.8074631690979004,,
55,7223,,,0.30337706208229065,0.6861835718154907
56,7249,0.5099544525146484,0.6385036706924438,,
56,7299,0.2722061574459076,0.8559213280677795,,
56,7349,0.18226970732212067,0.7629605531692505,,
56,7352,,,0.2083413451910019,0.7765306234359741
57,7399,0.26559025049209595,0.7308180332183838,,
57,7449,0.20079277455806732,0.7321447134017944,,
57,7481,,,0.22020134329795837,0.7670578956604004
58,7499,0.38403716683387756,0.39237910509109497,,
58,7549,0.27395206689834595,0.7859216332435608,,
58,7599,0.20455728471279144,0.7809450626373291,,
58,7610,,,0.21583271026611328,0.7702338099479675
59,7649,0.28693699836730957,0.7770829200744629,,
59,7699,0.24841253459453583,0.8084594011306763,,
59,7739,,,0.5208982229232788,0.47018134593963623
60,7749,0.18220902979373932,0.8239920735359192,,
60,7799,0.1631895899772644,0.8440864682197571,,
60,7849,0.15320871770381927,0.8660886883735657,,
60,7868,,,0.24120427668094635,0.7469348311424255
61,7899,0.48970767855644226,0.5434006452560425,,
61,7949,0.23361806571483612,0.783854067325592,,
61,7997,,,0.2731771171092987,0.7159622311592102
62,7999,0.23792341351509094,0.6551047563552856,,
62,8049,0.3244454264640808,0.764115571975708,,
62,8099,0.15378105640411377,0.8549753427505493,,
62,8126,,,0.21369938552379608,0.7712280750274658
63,8149,0.06956358253955841,0.9125382304191589,,
63,8199,0.2816257178783417,0.7356588840484619,,
63,8249,0.2078736126422882,0.8080906867980957,,
63,8255,,,0.22326721251010895,0.7640450596809387
64,8299,0.3364090025424957,0.690953254699707,,
64,8349,0.21980133652687073,0.7896163463592529,,
64,8384,,,0.2244081348180771,0.7627634406089783
65,8399,0.1368134468793869,0.8221070766448975,,
65,8449,0.5340198874473572,0.5952614545822144,,
65,8499,0.24333986639976501,0.850801944732666,,
65,8513,,,0.21015948057174683,0.7753457427024841
66,8549,0.38584375381469727,0.7392523288726807,,
66,8599,0.24269159138202667,0.8433729410171509,,
66,8642,,,0.21994352340698242,0.7670759558677673
67,8649,0.21602949500083923,0.7222630977630615,,
67,8699,0.11978471279144287,0.8231081962585449,,
67,8749,0.26635921001434326,0.7540635466575623,,
67,8771,,,0.2089880406856537,0.7750561237335205
68,8799,0.21799121797084808,0.6551018953323364,,
68,8849,0.13451774418354034,0.8218915462493896,,
68,8899,0.15976327657699585,0.8944953680038452,,
68,8900,,,0.21927405893802643,0.7676438093185425
69,8949,0.26921215653419495,0.7141470313072205,,
69,8999,0.28568530082702637,0.6362535953521729,,
69,9029,,,0.22585521638393402,0.7614952921867371
70,9049,0.1398061215877533,0.8368786573410034,,
70,9099,0.15476703643798828,0.8733721971511841,,
70,9149,0.15938159823417664,0.7871289253234863,,
70,9158,,,0.2278856486082077,0.7600119709968567
71,9199,0.19753794372081757,0.7288836240768433,,
71,9249,0.19929203391075134,0.7163026332855225,,
71,9287,,,0.3400563895702362,0.6502372026443481
72,9299,0.16805312037467957,0.6410683393478394,,
72,9349,0.286895215511322,0.5300459265708923,,
72,9399,0.2148837447166443,0.8171748518943787,,
72,9416,,,0.21091218292713165,0.7733420133590698
73,9449,0.31625908613204956,0.47354835271835327,,
73,9499,0.15958459675312042,0.7852484583854675,,
73,9545,,,0.39975908398628235,0.5901501178741455
74,9549,0.1446780413389206,0.8038824200630188,,
74,9599,0.17479847371578217,0.7452458143234253,,
74,9649,0.14725224673748016,0.8516154289245605,,
74,9674,,,0.21417705714702606,0.7724579572677612
75,9699,0.305418998003006,0.7646886110305786,,
75,9749,0.36394673585891724,0.5100159645080566,,
75,9799,0.36509355902671814,0.759960412979126,,
75,9803,,,0.21879160404205322,0.7675570249557495
76,9849,0.2490902841091156,0.7678430676460266,,
76,9899,0.1913290172815323,0.8390345573425293,,
76,9932,,,0.21588565409183502,0.7689570188522339
77,9949,0.5594667196273804,0.6075541973114014,,
77,9999,0.22655922174453735,0.7041146755218506,,
77,10049,0.2246420979499817,0.6794555187225342,,
77,10061,,,0.2151254415512085,0.7693946361541748
78,10099,0.19589585065841675,0.7809763550758362,,
78,10149,0.1783086657524109,0.8470631241798401,,
78,10190,,,0.2064637839794159,0.7770217657089233
79,10199,0.268847793340683,0.7395428419113159,,
79,10249,0.19622427225112915,0.7649834752082825,,
79,10299,0.3521592319011688,0.7018032073974609,,
79,10319,,,0.22326906025409698,0.7630794644355774
80,10349,0.25825175642967224,0.5957318544387817,,
80,10399,0.3397412896156311,0.6683567762374878,,
80,10448,,,0.2228969782590866,0.7595720291137695
81,10449,0.38995251059532166,0.6818009614944458,,
